upper_band,lower_band,severe_ratio,cooldown_ms,move_budget,tau_ms,use_smoothed_load,total_moves,total_load_moved,avg_mm_smooth,worst_mm_smooth,avg_mm_reported,worst_mm_reported,avg_cv_smooth,worst_cv_smooth,avg_cv_reported,worst_cv_reported
1.0300,0.8000,1.5000,120000,0.0100,30000,true,14,517.65,1.108531,1.429704,1.172120,1.843560,0.082946,0.249896,0.131450,0.487249
1.0300,0.8000,1.5000,120000,0.0100,0,true,14,517.65,1.108531,1.429704,1.172120,1.843560,0.082946,0.249896,0.131450,0.487249
1.0300,0.8000,1.5000,30000,0.0100,0,false,754,52619.00,1.138065,1.479928,1.138065,1.479928,0.102303,0.277299,0.102303,0.277299
1.0300,0.8000,1.5000,30000,0.0100,30000,false,754,52619.00,1.138065,1.479928,1.138065,1.479928,0.102303,0.277299,0.102303,0.277299
1.0300,0.8000,1.5000,120000,0.0100,300000,true,14,517.65,1.108531,1.429704,1.172120,1.843560,0.082946,0.249896,0.131450,0.487249
1.0300,0.8000,1.5000,120000,0.0100,0,false,754,52619.00,1.138065,1.479928,1.138065,1.479928,0.102303,0.277299,0.102303,0.277299
1.0300,0.8000,1.5000,30000,0.0100,60000,false,754,52619.00,1.138065,1.479928,1.138065,1.479928,0.102303,0.277299,0.102303,0.277299
1.0300,0.8000,1.5000,30000,0.0100,300000,false,754,52619.00,1.138065,1.479928,1.138065,1.479928,0.102303,0.277299,0.102303,0.277299
1.0300,0.8000,1.5000,120000,0.0100,60000,true,14,517.65,1.108531,1.429704,1.172120,1.843560,0.082946,0.249896,0.131450,0.487249
1.0300,0.8000,1.5000,120000,0.0100,30000,false,754,52619.00,1.138065,1.479928,1.138065,1.479928,0.102303,0.277299,0.102303,0.277299
1.0300,0.8000,1.5000,120000,0.0100,60000,false,754,52619.00,1.138065,1.479928,1.138065,1.479928,0.102303,0.277299,0.102303,0.277299
1.0300,0.8000,1.5000,120000,0.0100,300000,false,754,52619.00,1.138065,1.479928,1.138065,1.479928,0.102303,0.277299,0.102303,0.277299
1.0300,0.8500,1.5000,0,0.0100,0,true,21,1077.42,1.080360,1.383796,1.164833,1.814444,0.057809,0.221619,0.125915,0.481427
1.0300,0.8500,1.5000,0,0.0100,60000,true,21,1077.42,1.080360,1.383796,1.164833,1.814444,0.057809,0.221619,0.125915,0.481427
1.0300,0.8500,1.5000,0,0.0100,30000,true,21,1077.42,1.080360,1.383796,1.164833,1.814444,0.057809,0.221619,0.125915,0.481427
1.0300,0.8500,1.5000,0,0.0100,300000,true,21,1077.42,1.080360,1.383796,1.164833,1.814444,0.057809,0.221619,0.125915,0.481427
1.0300,0.8500,1.5000,0,0.0100,0,false,1327,79899.90,1.103749,1.339277,1.103749,1.339277,0.074835,0.196910,0.074835,0.196910
1.0300,0.8500,1.5000,30000,0.0100,30000,true,21,1077.42,1.080360,1.383796,1.164833,1.814444,0.057809,0.221619,0.125915,0.481427
1.0300,0.8500,1.5000,30000,0.0100,0,true,21,1077.42,1.080360,1.383796,1.164833,1.814444,0.057809,0.221619,0.125915,0.481427
1.0300,0.8500,1.5000,0,0.0100,30000,false,1327,79899.90,1.103749,1.339277,1.103749,1.339277,0.074835,0.196910,0.074835,0.196910
1.0300,0.8500,1.5000,0,0.0100,60000,false,1327,79899.90,1.103749,1.339277,1.103749,1.339277,0.074835,0.196910,0.074835,0.196910
1.0300,0.8500,1.5000,30000,0.0100,60000,true,21,1077.42,1.080360,1.383796,1.164833,1.814444,0.057809,0.221619,0.125915,0.481427
1.0300,0.8500,1.5000,0,0.0100,300000,false,1327,79899.90,1.103749,1.339277,1.103749,1.339277,0.074835,0.196910,0.074835,0.196910
1.0300,0.8500,1.5000,30000,0.0100,300000,true,21,1077.42,1.080360,1.383796,1.164833,1.814444,0.057809,0.221619,0.125915,0.481427
1.0300,0.8500,1.5000,30000,0.0100,30000,false,1327,79899.90,1.103749,1.339277,1.103749,1.339277,0.074835,0.196910,0.074835,0.196910
1.0300,0.8500,1.5000,30000,0.0100,0,false,1327,79899.90,1.103749,1.339277,1.103749,1.339277,0.074835,0.196910,0.074835,0.196910
1.0300,0.8500,1.5000,30000,0.0100,60000,false,1327,79899.90,1.103749,1.339277,1.103749,1.339277,0.074835,0.196910,0.074835,0.196910
1.0300,0.8500,1.5000,30000,0.0100,300000,false,1327,79899.90,1.103749,1.339277,1.103749,1.339277,0.074835,0.196910,0.074835,0.196910
1.0300,0.8500,1.5000,120000,0.0100,0,true,21,1077.42,1.080360,1.383796,1.164833,1.814444,0.057809,0.221619,0.125915,0.481427
1.0300,0.8500,1.5000,120000,0.0100,30000,true,21,1077.42,1.080360,1.383796,1.164833,1.814444,0.057809,0.221619,0.125915,0.481427
1.0300,0.8500,1.5000,120000,0.0100,60000,true,21,1077.42,1.080360,1.383796,1.164833,1.814444,0.057809,0.221619,0.125915,0.481427
1.0300,0.8500,1.5000,120000,0.0100,0,false,1327,79899.90,1.103749,1.339277,1.103749,1.339277,0.074835,0.196910,0.074835,0.196910
1.0300,0.8500,1.5000,120000,0.0100,300000,true,21,1077.42,1.080360,1.383796,1.164833,1.814444,0.057809,0.221619,0.125915,0.481427
1.0300,0.9000,1.5000,0,0.0100,0,true,112,3513.68,1.066070,1.247921,1.193725,1.727093,0.046477,0.143465,0.148992,0.432326
1.0300,0.8500,1.5000,120000,0.0100,30000,false,1327,79899.90,1.103749,1.339277,1.103749,1.339277,0.074835,0.196910,0.074835,0.196910
1.0300,0.9000,1.5000,0,0.0100,30000,true,112,3513.68,1.066070,1.247921,1.193725,1.727093,0.046477,0.143465,0.148992,0.432326
1.0300,0.8500,1.5000,120000,0.0100,60000,false,1327,79899.90,1.103749,1.339277,1.103749,1.339277,0.074835,0.196910,0.074835,0.196910
1.0300,0.9000,1.5000,0,0.0100,60000,true,112,3513.68,1.066070,1.247921,1.193725,1.727093,0.046477,0.143465,0.148992,0.432326
1.0300,0.9000,1.5000,0,0.0100,0,false,2155,108877.60,1.076323,1.338108,1.076323,1.338108,0.053863,0.195633,0.053863,0.195633
1.0300,0.8500,1.5000,120000,0.0100,300000,false,1327,79899.90,1.103749,1.339277,1.103749,1.339277,0.074835,0.196910,0.074835,0.196910
1.0300,0.9000,1.5000,0,0.0100,300000,true,112,3513.68,1.066070,1.247921,1.193725,1.727093,0.046477,0.143465,0.148992,0.432326
1.0300,0.9000,1.5000,0,0.0100,30000,false,2155,108877.60,1.076323,1.338108,1.076323,1.338108,0.053863,0.195633,0.053863,0.195633
1.0300,0.9000,1.5000,0,0.0100,60000,false,2155,108877.60,1.076323,1.338108,1.076323,1.338108,0.053863,0.195633,0.053863,0.195633
1.0300,0.9000,1.5000,0,0.0100,300000,false,2155,108877.60,1.076323,1.338108,1.076323,1.338108,0.053863,0.195633,0.053863,0.195633
1.0300,0.9000,1.5000,30000,0.0100,0,true,112,3513.68,1.066070,1.247921,1.193725,1.727093,0.046477,0.143465,0.148992,0.432326
1.0300,0.9000,1.5000,30000,0.0100,30000,true,112,3513.68,1.066070,1.247921,1.193725,1.727093,0.046477,0.143465,0.148992,0.432326
1.0300,0.9000,1.5000,30000,0.0100,0,false,2155,108877.60,1.076323,1.338108,1.076323,1.338108,0.053863,0.195633,0.053863,0.195633
1.0300,0.9000,1.5000,30000,0.0100,60000,true,112,3513.68,1.066070,1.247921,1.193725,1.727093,0.046477,0.143465,0.148992,0.432326
1.0300,0.9000,1.5000,30000,0.0100,300000,true,112,3513.68,1.066070,1.247921,1.193725,1.727093,0.046477,0.143465,0.148992,0.432326
1.0300,0.9000,1.5000,120000,0.0100,0,true,91,3259.42,1.061856,1.210343,1.196752,1.794315,0.043070,0.122326,0.154427,0.464683
1.0300,0.9000,1.5000,30000,0.0100,30000,false,2155,108877.60,1.076323,1.338108,1.076323,1.338108,0.053863,0.195633,0.053863,0.195633
1.0300,0.9000,1.5000,30000,0.0100,60000,false,2155,108877.60,1.076323,1.338108,1.076323,1.338108,0.053863,0.195633,0.053863,0.195633
1.0300,0.9000,1.5000,120000,0.0100,30000,true,91,3259.42,1.061856,1.210343,1.196752,1.794315,0.043070,0.122326,0.154427,0.464683
1.0300,0.9000,1.5000,120000,0.0100,60000,true,91,3259.42,1.061856,1.210343,1.196752,1.794315,0.043070,0.122326,0.154427,0.464683
1.0300,0.9000,1.5000,30000,0.0100,300000,false,2155,108877.60,1.076323,1.338108,1.076323,1.338108,0.053863,0.195633,0.053863,0.195633
1.0300,0.9000,1.5000,120000,0.0100,300000,true,91,3259.42,1.061856,1.210343,1.196752,1.794315,0.043070,0.122326,0.154427,0.464683
1.0300,0.9000,1.5000,120000,0.0100,0,false,2155,108877.60,1.076323,1.338108,1.076323,1.338108,0.053863,0.195633,0.053863,0.195633
1.0300,0.9000,1.5000,120000,0.0100,30000,false,2155,108877.60,1.076323,1.338108,1.076323,1.338108,0.053863,0.195633,0.053863,0.195633
1.0300,0.9000,1.5000,120000,0.0100,60000,false,2155,108877.60,1.076323,1.338108,1.076323,1.338108,0.053863,0.195633,0.053863,0.195633
1.0300,0.9500,1.5000,0,0.0100,0,true,361,5912.38,1.034846,1.293703,1.141716,1.896431,0.025644,0.172867,0.115609,0.518832
1.0300,0.9000,1.5000,120000,0.0100,300000,false,2155,108877.60,1.076323,1.338108,1.076323,1.338108,0.053863,0.195633,0.053863,0.195633
1.0300,0.9500,1.5000,0,0.0100,30000,true,361,5912.38,1.034846,1.293703,1.141716,1.896431,0.025644,0.172867,0.115609,0.518832
1.0300,0.9500,1.5000,0,0.0100,60000,true,361,5912.38,1.034846,1.293703,1.141716,1.896431,0.025644,0.172867,0.115609,0.518832
1.0300,0.9500,1.5000,0,0.0100,0,false,3622,133732.40,1.045256,1.271511,1.045256,1.271511,0.032140,0.164157,0.032140,0.164157
1.0300,0.9500,1.5000,0,0.0100,300000,true,361,5912.38,1.034846,1.293703,1.141716,1.896431,0.025644,0.172867,0.115609,0.518832
1.0300,0.9500,1.5000,0,0.0100,30000,false,3552,132731.00,1.044280,1.260014,1.044280,1.260014,0.031595,0.158949,0.031595,0.158949
1.0300,0.9500,1.5000,30000,0.0100,0,true,409,7304.87,1.036119,1.266496,1.147675,1.632455,0.026565,0.170610,0.118661,0.372695
1.0300,0.9500,1.5000,30000,0.0100,30000,true,409,7304.87,1.036119,1.266496,1.147675,1.632455,0.026565,0.170610,0.118661,0.372695
1.0300,0.9500,1.5000,0,0.0100,60000,false,3464,133127.20,1.046845,1.378538,1.046845,1.378538,0.033103,0.225143,0.033103,0.225143
1.0300,0.9500,1.5000,0,0.0100,300000,false,3590,129660.00,1.047120,1.271028,1.047120,1.271028,0.033508,0.157051,0.033508,0.157051
1.0300,0.9500,1.5000,30000,0.0100,60000,true,409,7304.87,1.036119,1.266496,1.147675,1.632455,0.026565,0.170610,0.118661,0.372695
1.0300,0.9500,1.5000,30000,0.0100,0,false,3605,134776.10,1.047238,1.356339,1.047238,1.356339,0.033460,0.215560,0.033460,0.215560
1.0300,0.9500,1.5000,30000,0.0100,300000,true,409,7304.87,1.036119,1.266496,1.147675,1.632455,0.026565,0.170610,0.118661,0.372695
