timestamp,pod,cpu_cores,throttled_cores,throttled_events,memory_mib,memory_max
2026-05-18T10:23:44Z,etcd-0,0.0098,0.0000,0,105.34,max
2026-05-18T10:23:57Z,cadence-frontend-0,0.0026,0.0000,0,31.15,max
2026-05-18T10:23:57Z,cadence-history-0,0.0026,0.0000,0,41.59,max
2026-05-18T10:23:57Z,cadence-matching-a-0,0.0028,0.0000,0,26.72,536870912
2026-05-18T10:23:57Z,cadence-matching-b-0,0.0027,0.0000,0,28.86,536870912
2026-05-18T10:23:57Z,cadence-matching-c-0,0.0029,0.0000,0,29.57,536870912
2026-05-18T10:23:57Z,cadence-shard-distributor-0,0.0181,0.0000,0,61.91,max
2026-05-18T10:23:57Z,cassandra-0,0.0132,0.0000,0,9060.35,max
2026-05-18T10:23:57Z,etcd-0,0.0104,0.0000,0,115.84,max
2026-05-18T10:24:09Z,cadence-frontend-0,0.0033,0.0000,0,35.24,max
2026-05-18T10:24:09Z,cadence-history-0,0.0035,0.0000,0,42.60,max
2026-05-18T10:24:09Z,cadence-matching-a-0,0.0027,0.0000,0,26.88,536870912
2026-05-18T10:24:09Z,cadence-matching-b-0,0.0026,0.0000,0,28.64,536870912
2026-05-18T10:24:09Z,cadence-matching-c-0,0.0027,0.0000,0,28.84,536870912
2026-05-18T10:24:09Z,cadence-shard-distributor-0,0.0171,0.0000,0,59.03,max
2026-05-18T10:24:09Z,cassandra-0,0.0151,0.0000,0,9066.75,max
2026-05-18T10:24:09Z,etcd-0,0.0094,0.0000,0,124.30,max
2026-05-18T10:24:21Z,cadence-frontend-0,0.0027,0.0000,0,35.40,max
2026-05-18T10:24:21Z,cadence-history-0,0.0029,0.0000,0,43.76,max
2026-05-18T10:24:21Z,cadence-matching-a-0,0.0028,0.0000,0,26.81,536870912
2026-05-18T10:24:21Z,cadence-matching-b-0,0.0028,0.0000,0,28.89,536870912
2026-05-18T10:24:21Z,cadence-matching-c-0,0.0026,0.0000,0,29.67,536870912
2026-05-18T10:24:21Z,cadence-shard-distributor-0,0.0166,0.0000,0,58.44,max
2026-05-18T10:24:21Z,cassandra-0,0.0143,0.0000,0,9063.08,max
2026-05-18T10:24:21Z,etcd-0,0.0095,0.0000,0,131.82,max
2026-05-18T10:24:33Z,cadence-frontend-0,0.0027,0.0000,0,35.52,max
2026-05-18T10:24:33Z,cadence-history-0,0.0026,0.0000,0,42.75,max
2026-05-18T10:24:33Z,cadence-matching-a-0,0.0027,0.0000,0,26.89,536870912
2026-05-18T10:24:33Z,cadence-matching-b-0,0.0027,0.0000,0,29.27,536870912
2026-05-18T10:24:33Z,cadence-matching-c-0,0.0023,0.0000,0,29.48,536870912
2026-05-18T10:24:33Z,cadence-shard-distributor-0,0.0174,0.0000,0,61.92,max
2026-05-18T10:24:33Z,cassandra-0,0.0099,0.0000,0,9063.06,max
2026-05-18T10:24:33Z,etcd-0,0.0096,0.0000,0,142.04,max
2026-05-18T10:24:46Z,cadence-frontend-0,0.0032,0.0000,0,35.54,max
2026-05-18T10:24:46Z,cadence-history-0,0.0038,0.0000,0,43.60,max
2026-05-18T10:24:46Z,cadence-matching-a-0,0.0023,0.0000,0,27.05,536870912
